[00:00.000 --> 00:00.780]  Hi, I'm Riley.
[04:24.080 --> 04:30.800]  So went through time change, and then came back here, and then an unexpected development occurred.
[04:31.140 --> 04:32.640]  For six hours!
[04:33.020 --> 04:35.240]  Which has made it really hard for me to get to sleep.
[04:35.380 --> 04:41.840]  Every day this week, I've stayed up between 1 and 3.30 in the morning, but we do have an indoor bike today.
[04:42.100 --> 04:46.040]  I didn't get up early enough to do all of it before church this morning, so...
[04:45.830 --> 04:48.550]  So I'm just gonna do as much as I can, probably just an hour.
[04:48.990 --> 04:52.450]  I might make up the rest of it later, but I also might not.
[04:53.710 --> 05:00.290]  Over the last couple months, I've started making it a habit to study for my personal training certification while I'm biking.
[05:00.850 --> 05:05.170]  I put my phone right here, and then I just read while I cycle.
[05:05.790 --> 05:07.910]  And it's a good multitasking moment.
[05:08.250 --> 05:12.970]  I am many months into training for my Iron Man and my VO2 Max training.
[05:13.270 --> 05:24.390]  In the last couple weeks, I've honestly not been hitting the numbers or the miles or the distance that I need to, and I just feel like I'm not doing a good job right now.
[05:24.670 --> 05:27.190]  There are a lot of things I'm feeling, but that is one of them.
[05:27.430 --> 05:28.090]  But I'm trying.
[05:29.130 --> 05:31.450]  And that's what's most important.
[05:31.960 --> 05:33.600]  So I'm trying to be patient with myself.
[05:33.940 --> 05:35.680]  I got four hours of sleep last night.
[05:35.900 --> 05:37.580]  I stayed up till 5 a.m.
[05:37.720 --> 05:41.440]  And I was hoping to do a 10 mile run today because I haven't done a workout yet this weekend.
[05:41.620 --> 05:44.060]  It's Wednesday, but I only had time for seven.
[05:44.520 --> 05:50.960]  Even though I didn't run the exact distance I wanted to, I showed up and I did my best.
[05:51.260 --> 05:55.540]  That makes me feel good, even though I didn't get the 10 miles I initially wanted to.
[05:55.820 --> 05:58.360]  Now I'm gonna go take a shower and go to a play with my roommates.
[06:03.430 --> 06:05.830]  I have so much to update you guys on.
[06:05.970 --> 06:09.270]  A good place to start is the fact that I have been slacking.
[06:09.670 --> 06:11.930]  I've been slacking so much in the training department.
[06:12.210 --> 06:18.570]  Ever since I went on my trip to Florida, after getting back from that, I've just had so much going on and...
[06:18.720 --> 06:21.220]  Training just has not been my highest priority.
[06:21.360 --> 06:31.620]  But it needs to be because in less than two weeks, I'm going to be doing my Ironman 70.3 race and I want to feel prepared and good during the entire experience.
[06:31.900 --> 06:37.080]  I did complete a 100 mile bike race, which made me feel a lot better in the cycling department.
[06:37.360 --> 06:44.880]  So now I at least feel confident in my ability and have actually finished each of the distances that I'll be doing in the Ironman 70.3.
[06:45.060 --> 06:46.440]  Now we just got to put them together.
[06:46.700 --> 06:47.240]  My goal...
[06:51.360 --> 06:55.000]  I've also been very last minute with this, but I got a wetsuit.
[06:55.280 --> 06:57.440]  I still haven't done an open water swim with it.
[06:57.480 --> 06:58.980]  So that's something we're going to be doing this week.
[06:59.040 --> 07:01.920]  I also ordered a couple of different trisuits.
[07:02.140 --> 07:06.420]  And also, I don't know if you can see these packages back here, but I'm going to get that set up right now.
[07:06.560 --> 07:09.240]  And then I've got, then I've got to lock in guys.
[07:09.320 --> 07:10.340]  I've got to lock in.
[07:10.480 --> 07:12.640]  I've got an hour and a half easy spin on the bike.
[07:12.700 --> 07:14.780]  And then I've got an off the bike run.
[07:18.520 --> 07:21.060]  The bike is set up and ready to go.
[07:21.720 --> 07:27.160]  I've got a one hour and 20 minute ride and I'm going to study for my personal training certification.
[07:27.820 --> 07:29.020]  But that's kind of my thing.
[07:29.280 --> 07:33.040]  Every time I ride indoors, I study on my phone.
[07:33.360 --> 07:38.280]  And this is like creating the perfect setup for me to be able to do that.
[07:39.200 --> 07:42.140]  Buying these shirts has honestly been so helpful to me.
[07:42.480 --> 07:48.320]  When it comes to body image and working out, going through this period of time, it just helps me focus outward.
[07:53.160 --> 07:59.080]  Let's go run!
[08:12.860 --> 08:15.260]  Guys, this run has felt so good.
[08:15.500 --> 08:16.280]  So good!
[08:16.700 --> 08:18.280]  I'm so happy about it.
[08:22.600 --> 08:24.180]  It's been way too long.
[08:25.120 --> 08:30.640]  But we're in a 50 meter pool, which I haven't actually done an entire practice in.
[08:30.940 --> 08:33.660]  So I'm really excited to see how it feels.
[08:38.840 --> 08:43.440]  I'm supposed to do a 100 kick, but I don't have my kickboard.
[08:43.600 --> 08:44.080]  I forgot it.
[08:44.260 --> 08:50.600]  So I'm going to do 100 pull with paddles and then 100 without paddles.
[08:57.050 --> 08:59.030]  Another day, another bike ride.
[08:59.350 --> 09:05.630]  Today we've got an hour and 20 minute easy ride, and this is the first day that I'm trying out my tri-suit.
[09:06.250 --> 09:13.350]  I think I'm just gonna cycle in it like this, and then for my runs and stuff, I'll try it out this week as well.
[09:13.770 --> 09:19.010]  But for now, I'm just gonna test out this padding and see how I feel about it.
[09:19.170 --> 09:22.190]  This is a really nice tri-suit, so I have high hopes for it.
[09:22.330 --> 09:23.030]  I think it'll be good.
[09:23.370 --> 09:24.490]  I love this bike.
[09:24.960 --> 09:27.340]  From Swift, it's actually incredible.
[09:27.800 --> 09:31.500]  Last time I cycled on it, I cycled barefoot, and I'm gonna do the same thing today.
[09:32.260 --> 09:35.300]  Because I don't have clip and pedals for it.
[09:35.340 --> 09:38.380]  I did order some, but they're not gonna get here until next week.
[09:38.620 --> 09:41.220]  I'm trying this honey stinger bar for fuel very much.
[09:41.760 --> 09:42.420]  Rad today.
[09:42.740 --> 09:47.520]  I really do like the wafers that they make, and I think I'm gonna get some of those for my actual race.
[09:47.880 --> 09:49.480]  It's okay, I'm gonna be fine.
[09:49.700 --> 09:50.220]  It's mine.
[09:50.420 --> 09:53.700]  Like, when I'm bendy down, it's like...
[09:53.520 --> 10:00.740]  What's hard for me about the way that I feel right now is that I am not the same person that I was the last time that I looked like this.
[10:00.920 --> 10:03.140]  I am not her in so many ways.
[10:03.360 --> 10:06.060]  I am a much more disciplined and dedicated.
[10:06.560 --> 10:12.060]  I'm a person that has more knowledge than she had and more ability to execute on my goals.
[10:12.340 --> 10:16.220]  And it's just hard when I feel like my appearance doesn't match me.
[10:16.420 --> 10:20.760]  And I just have to say with that because the way that I look in my body is not the most important thing.
[10:20.840 --> 10:21.980]  I'm so glad that my body...
[10:21.930 --> 10:26.710]  I'm so glad that I have my cycle back and I want it to be regular and that's important to me.
[10:26.770 --> 10:29.130]  That's more important to me than not having this.
[10:29.410 --> 10:30.710]  It's more important to me.
[10:30.930 --> 10:32.790]  So I'm just gonna be here.
[10:33.010 --> 10:35.350]  I'm gonna be here in this and I'm gonna feel good about it.
[10:35.430 --> 10:42.150]  And I'm gonna be so grateful that I have this extra body fat right now because it's helping my body feel safe and it's just helping me be healthier.
[10:42.350 --> 10:43.870]  Even though that doesn't really make sense.
[10:44.290 --> 10:45.050]  This isn't forever.
[10:45.350 --> 10:46.770]  I'm not gonna look like this forever.
[10:47.090 --> 10:48.970]  It's okay that I look like this right now.
[10:50.070 --> 10:52.070]  But it does stress me out.
[10:52.970 --> 10:54.350]  And it doesn't make me feel my best.
[10:54.690 --> 10:56.010]  And it's okay to recognize that.
[10:56.190 --> 10:57.570]  It's okay to want to change it.
[10:57.830 --> 11:01.390]  It's okay to not want to be this way or to feel this way.
[11:01.770 --> 11:06.410]  But what's most important to me is that my body is healthy from the inside.
[11:06.750 --> 11:14.050]  And if this has to happen for me to be that way, then bring it on because...
[11:13.920 --> 11:14.920]  I can handle it.
[11:15.140 --> 11:18.260]  This is a challenge just like any of the other challenges that I've done.
[11:18.540 --> 11:19.540]  And it's all gonna be okay.
[11:20.160 --> 11:22.240]  I feel like I'm not the biggest fan of this suit.
[11:22.440 --> 11:25.980]  These arms, like, kind of long, but I could roll it up like this.
[11:26.220 --> 11:28.780]  If I look legit though, I feel feel legit.
[11:28.960 --> 11:34.760]  I did not plan on doing a double-edgeday, but I also didn't plan on spontaneously flying to New York City tomorrow morning.
[11:35.060 --> 11:42.220]  So we're doing a double session, so I'm gonna do my hill workout today and then take tomorrow as more of a rest day because I'll be traveling all day long.
[11:42.560 --> 11:45.460]  Is it kind of crazy to do this a week from my race?
[11:45.760 --> 11:46.100]  Yes.
[11:46.600 --> 11:47.500]  Am I doing it anyway?
[11:47.960 --> 11:48.580]  Also, yes.
[11:49.000 --> 11:49.520]  Let's go.
[11:50.460 --> 11:51.940]  Guys, I'm so amped about this trip.
[11:52.080 --> 11:54.160]  My heart rate is like 160 in the warm-up.
[11:54.260 --> 11:57.060]  So I'm walking because I need to chill the heck out.
[11:57.560 --> 11:58.480]  We've made it to the hill.
[12:16.230 --> 12:19.150]  I've never been on just a regular run that's felt like a race.
[12:22.330 --> 12:25.670]  I did have a gel for halfway, but it fell out somewhere.
[12:26.010 --> 12:27.770]  I'm currently in New York City.
[12:27.970 --> 12:29.550]  I've been here for the last week.
[12:29.990 --> 12:33.010]  And it's been fun to train for my triathlon here.
[12:33.210 --> 12:36.730]  I'm currently one week out from my Ironman 70.3.
[12:37.370 --> 12:44.090]  But one exciting thing is that I actually got the opportunity to come up to run the New York City Marathon.
[12:44.430 --> 12:47.770]  So I'm going to be using RUNNA to train for that marathon.
[12:48.010 --> 13:01.380]  So I'm going to create a new training plan to help me post If you've been wanting to train for and run a race, but you don't know how to get started or don't know very much about running, I highly recommend using Runa to create your own personalized training plan.
[13:01.840 --> 13:04.400]  And if you're interested, you can click the link in my description.
[13:04.840 --> 13:07.160]  We're using Code Riley to get a two-week free trial.
[13:07.300 --> 13:10.480]  There's also a QR code on the screen, so you can also scan that.
[13:10.860 --> 13:11.600]  I hope you guys do.
[13:12.420 --> 13:14.640]  I hope you guys do because it's awesome!
[13:15.360 --> 13:21.790]  And I'm really excited for my Iron Man coming up in one And I'm also really excited to run the New York City Marathon.
[13:22.010 --> 13:24.590]  That's like a bucket list race for me and...
[13:24.670 --> 13:30.070]  I know I alluded to it in my running video, but I do want to run lots of races next year.
[13:30.270 --> 13:38.030]  And I feel like this is a good way to kind of ease into more longer distance running races for next year.
[13:38.290 --> 13:38.890]  And it's not really exciting.
[13:39.170 --> 13:40.870]  Thank you guys so much for watching this video too.
[13:41.030 --> 13:41.910]  I hope you enjoyed it.
[13:42.290 --> 13:45.310]  And I'm excited to bring you along for my Ironman race.
[13:45.550 --> 13:47.230]  And I will see you in the next video.
[13:47.650 --> 13:48.410]  Bye guys!
[13:49.050 --> 13:49.210]  Bye!
